NL,ND,QL,QD,Ti,Te,TT
198,0.46,90,0.53,39.03804,865.3281,68.45449968
198,0.48,109,0.37,46.92084,979.4889,78.21762738
234,0.34,96,0.47,40.91292,854.4699,70.14423711
270,0.32,83,0.51,36.6798,777.3567,64.56091727
360,0.32,122,0.43,46.3464,862.4851,75.71449664
324,0.42,102,0.55,39.92172,808.0555,68.34803703
216,0.48,83,0.49,38.24628,852.8813,67.45041156
306,0.32,64,0.51,32.05488,701.4547,58.53987009
270,0.38,102,0.51,41.1798,845.2367,70.25275479
252,0.46,70,0.53,34.01316,775.7681,61.86577388
198,0.46,83,0.35,41.43744,907.5715,71.56336737
324,0.42,102,0.43,42.57132,849.5551,71.7184485
342,0.32,90,0.39,40.20456,795.6623,68.41204659
324,0.46,70,0.37,36.84612,787.9009,64.91569249
234,0.46,90,0.47,40.01292,864.4779,69.41492503
342,0.4,102,0.37,43.64616,854.9789,72.88618223
270,0.42,115,0.49,44.6964,898.3593,74.66904253
288,0.42,102,0.51,41.15484,843.4887,70.19771692
198,0.46,77,0.45,37.87944,855.8405,67.13419175
198,0.42,96,0.53,40.23804,873.4241,69.79178934
198,0.32,122,0.41,48.36264,966.6017,79.45285872
324,0.5,109,0.41,44.88792,894.5817,74.79747867
252,0.44,77,0.43,37.72116,825.8311,66.45843718
342,0.42,128,0.43,48.24636,913.0631,78.46329399
306,0.3,128,0.53,45.93828,872.9241,75.48356896
342,0.48,115,0.39,46.42956,903.3203,76.48484739
288,0.46,115,0.41,46.43784,924.2777,76.83977579
270,0.48,122,0.53,45.6132,918.1101,75.91353168
234,0.46,96,0.55,39.59652,853.9595,68.81910544
342,0.4,83,0.45,37.60476,773.0105,65.40782638
234,0.44,109,0.55,42.44652,886.5875,72.22213922
198,0.44,90,0.49,39.84624,874.6353,69.42047372
360,0.38,96,0.39,41.6046,815.5883,70.16310661
342,0.32,102,0.49,40.69656,795.3753,68.89895883
342,0.46,70,0.47,34.46316,742.5179,61.71234164
288,0.34,83,0.49,37.02144,777.9993,64.91407881
306,0.4,64,0.51,32.35488,719.5587,59.17947133
288,0.5,70,0.41,36.46284,804.7197,64.83042185
342,0.38,122,0.49,45.42156,866.1133,74.85136292
234,0.44,96,0.53,39.96312,856.3501,69.22658015
360,0.5,115,0.41,45.888,890.1297,75.72304148
342,0.38,90,0.41,39.98796,802.3237,68.31327906
198,0.34,122,0.55,45.34644,922.7115,75.72260664
198,0.34,102,0.53,41.28804,872.4681,70.82561099
306,0.38,102,0.41,43.03788,858.2197,72.33326701
198,0.32,70,0.39,37.10424,824.9023,65.82535244
234,0.42,109,0.43,45.02112,923.5611,75.41126807
252,0.34,128,0.43,48.82116,948.9591,79.62633976
216,0.34,109,0.37,46.22088,937.0069,76.83144844
306,0.34,77,0.45,36.37968,763.8845,64.01814052
198,0.38,102,0.37,44.97084,936.8529,75.57889286
216,0.4,115,0.47,45.58788,933.1499,76.13538235
252,0.42,70,0.41,36.51276,808.2157,64.9418947
